,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
32,Charley Hoffman,104,"7,317",- 10.538,"64,521",216,858,"1,457","1,254","1,872",-0.3,4.23,89,0.622,0.41100000000000003,-0.02,94.406,89,31.0,0.0,7.0,"2,527",,2.0,2.0,2017
33,Pat Perez,86,"6,045",- 1.949,"50,036",172,754,"1,207","1,035","1,548",-0.28,18.590999999999998,69,-0.098,0.308,0.425,62.369,69,26.0,1.0,6.0,"2,404",1.0,1.0,1.0,2017
34,Xander Schauffele,88,"6,181",3.549,"56,449",184,723,"1,231","1,075","1,584",-0.28,28.688000000000002,70,0.52,0.009000000000000001,-0.14300000000000002,55.692,70,28.0,2.0,4.0,849,2.0,,,2017
35,Brian Harman,96,"6,744",10.715,"55,653",192,846,"1,342","1,114","1,728",-0.3,49.722,82,0.054000000000000006,-0.11199999999999999,0.301,69.628,82,30.0,1.0,7.0,"2,636",1.0,1.0,1.0,2017
36,Charles Howell III,82,"5,749",21.404,"46,318",156,626,"1,144",989,"1,476",-0.27,11.729000000000001,68,0.016,0.223,0.081,33.46,68,23.0,0.0,5.0,"5,147",,2.0,,2017
37,Graham DeLaet,76,"5,349",- .423,"45,769",152,675,"1,060",938,"1,368",-0.27,20.639,71,0.486,0.42700000000000005,-0.436,54.527,71,25.0,0.0,6.0,"5,631",,,,2017
38,Kevin Kisner,94,"6,621",- 4.611,"52,101",180,898,"1,315","1,124","1,692",-0.24,26.487,73,0.285,0.36700000000000005,-0.017,72.796,73,28.0,1.0,8.0,"2,099",1.0,2.0,1.0,2017
39,Jamie Lovemark,96,"6,748",9.581,"56,102",184,769,"1,340","1,142","1,728",-0.28,-1.34,80,0.319,0.183,0.258,59.44,80,28.0,0.0,4.0,"5,362",,,1.0,2017
40,Zach Johnson,77,"5,440",- 19.745,"44,178",154,728,"1,078",890,"1,386",-0.27,28.326,68,-0.005,-0.006999999999999999,0.226,42.926,68,23.0,0.0,4.0,"5,264",,1.0,,2017
41,Kevin Na,82,"5,764",8.722,"41,991",148,702,"1,146",967,"1,476",-0.28,17.507,66,-0.406,0.631,0.28800000000000003,51.358000000000004,66,26.0,0.0,5.0,"5,208",,,,2017
42,Luke List,98,"6,868",33.926,"61,046",196,761,"1,368","1,219","1,764",-0.29,-36.664,86,0.6,0.44299999999999995,0.07400000000000001,59.402,86,31.0,0.0,3.0,"5,270",,1.0,1.0,2017
43,Bud Cauley,88,"6,189",9.054,"52,083",176,738,"1,228","1,067","1,584",-0.27,-22.35,82,0.264,0.588,-0.05,43.474,82,28.0,0.0,5.0,"5,465",,,1.0,2017
44,Keegan Bradley,102,"7,167",17.524,"58,759",196,951,"1,424","1,260","1,836",-0.27,-19.67,91,0.625,0.139,0.004,50.281000000000006,91,29.0,0.0,5.0,"5,252",,,,2017
45,Martin Laird,83,"5,855",- 7.623,"49,291",166,761,"1,159",984,"1,494",-0.27,18.195,72,0.235,0.139,0.203,59.668,72,25.0,0.0,5.0,"5,344",,,1.0,2017
46,Gary Woodland,85,"5,994",- 2.568,"49,827",162,709,"1,185","1,065","1,530",-0.26,-24.528000000000002,64,0.46799999999999997,0.589,0.05,46.288999999999994,64,26.0,0.0,5.0,"2,679",,2.0,,2017
47,Sung Kang,102,"7,192",- 1.452,"58,094",196,850,"1,425","1,213","1,836",-0.28,12.609000000000002,82,0.255,0.251,-0.182,39.231,82,32.0,0.0,3.0,"5,382",,1.0,,2017
48,Patrick Reed,96,"6,787",- 19.155,"54,383",184,769,"1,343","1,079","1,728",-0.29,46.295,80,0.215,-0.032,0.231,79.437,80,29.0,0.0,4.0,"2,584",,1.0,,2017
49,Brendan Steele,84,"5,925",- 2.712,"48,061",160,742,"1,180","1,017","1,512",-0.28,-0.92,71,0.387,0.41100000000000003,0.09,62.147,71,25.0,1.0,4.0,"4,989",1.0,,,2017
50,Chad Campbell,97,"6,795",44.334,"53,121",186,910,"1,354","1,206","1,746",-0.24,-24.298000000000002,85,0.040999999999999995,0.506,0.14400000000000002,34.408,85,29.0,0.0,3.0,"5,651",,,,2017
51,Seamus Power,80,"5,605",38.469,"47,702",160,594,"1,115",945,"1,440",-0.28,11.845999999999998,68,-0.067,0.20199999999999999,0.22899999999999998,36.603,68,25.0,0.0,1.0,"5,931",,,,2017
52,Adam Hadwin,94,"6,640",- 6.296,"54,762",188,827,"1,311","1,107","1,692",-0.28,26.159000000000002,75,0.061,0.239,-0.021,47.023999999999994,75,28.0,1.0,5.0,"2,638",1.0,1.0,,2017
53,Brian Gay,78,"5,486",19.639,"43,483",156,713,"1,089",892,"1,404",-0.27,31.105999999999998,69,-0.41700000000000004,-0.006,0.254,19.483,69,25.0,0.0,3.0,"5,855",,,1.0,2017
54,Hudson Swafford,90,"6,348",7.597,"52,477",172,757,"1,256","1,105","1,620",-0.27,-0.35100000000000003,76,0.45399999999999996,0.20199999999999999,-0.337,23.865,76,28.0,1.0,4.0,"5,037",1.0,,,2017
55,Graeme McDowell,56,"3,972",- 16.789,"31,307",112,545,780,631,"1,008",-0.28,28.174,50,0.085,-0.036000000000000004,-0.111,25.088,50,17.0,0.0,,"5,950",,,,2017
56,J.B. Holmes,76,"5,405",- 34.841,"44,286",144,545,"1,063",856,"1,368",-0.3,-1.9780000000000002,61,0.5329999999999999,0.039,0.13699999999999998,41.231,61,23.0,0.0,2.0,"5,738",,,,2017
57,Shane Lowry,49,"3,483",- 20.306,"26,680",90,451,685,596,882,-0.27,18.184,38,0.5820000000000001,0.231,-0.27699999999999997,38.554,38,16.0,0.0,1.0,"5,920",,,,2017
58,Kevin Chappell,86,"6,102",- 23.332,"50,022",164,715,"1,203","1,016","1,548",-0.28,-21.879,68,0.478,0.405,0.177,50.22,68,27.0,1.0,5.0,"2,648",1.0,,,2017
59,Nick Watney,69,"4,878",- .727,"41,521",138,535,961,825,"1,242",-0.24,-7.249,64,-0.063,0.585,-0.23800000000000002,10.914000000000001,64,23.0,0.0,1.0,"5,895",,,,2017
60,Rafa Cabrera Bello,60,"4,266",- 24.418,"30,341",104,516,840,677,"1,080",-0.26,21.756,46,-0.223,-0.171,0.068,6.779,46,19.0,0.0,4.0,"5,401",,,,2017
61,Robert Streb,94,"6,642",3.822,"52,980",180,756,"1,313","1,103","1,692",-0.26,0.223,84,-0.159,-0.07200000000000001,0.305,6.516,84,30.0,0.0,3.0,"5,420",,1.0,,2017
62,Ollie Schniederjans,87,"6,129",22.241,"52,321",174,631,"1,216","1,034","1,566",-0.28,-1.527,81,0.125,0.309,-0.032,31.06,81,28.0,0.0,5.0,"5,384",,1.0,1.0,2017
63,Michael Kim,90,"6,347",16.586,"52,130",180,750,"1,256","1,064","1,620",-0.27,19.249000000000002,84,-0.247,0.158,0.106,20.713,84,28.0,0.0,1.0,"5,798",,,1.0,2017
64,Robert Garrigus,72,"5,060",31.291,"43,307",144,597,"1,003",901,"1,296",-0.28,-27.37,60,0.42200000000000004,0.47700000000000004,-0.19,15.18,60,26.0,0.0,3.0,"5,833",,,,2017
65,Matt Jones,56,"3,952",8.241,"33,891",112,447,783,636,"1,008",-0.26,8.671,51,0.073,-0.46799999999999997,0.503,14.177,51,,,,,,,,2017
66,Ryan Moore,79,"5,599",- 10.433,"40,894",142,751,"1,106",925,"1,422",-0.28,-1.136,65,-0.006,0.498,-0.17300000000000001,19.583,65,24.0,0.0,2.0,"5,422",,,1.0,2017
67,David Lingmerth,75,"5,317",- 10.362,"41,269",142,666,"1,046",852,"1,350",-0.28,33.406,69,-0.032,0.054000000000000006,-0.031,32.809,69,23.0,0.0,1.0,"5,735",,,,2017
68,Russell Knox,70,"4,950",3.522,"35,784",124,664,982,839,"1,260",-0.25,-18.82,54,0.102,0.18100000000000002,-0.11900000000000001,-9.891,54,24.0,0.0,4.0,"5,594",,,1.0,2017
69,Emiliano Grillo,87,"6,170",- 10.598,"46,342",158,797,"1,218","1,049","1,566",-0.26,-11.407,66,0.368,0.281,-0.11599999999999999,23.713,66,25.0,0.0,2.0,"5,469",,,,2017
70,Anirban Lahiri,72,"5,088",9.539,"40,391",136,603,"1,008",822,"1,296",-0.32,-19.798,59,0.23399999999999999,-0.14300000000000002,0.059000000000000004,-10.991,59,22.0,0.0,3.0,"5,292",,1.0,1.0,2017
71,Sean O'Hair,84,"5,953",- 5.730,"47,604",160,711,"1,173","1,004","1,512",-0.26,7.5089999999999995,70,0.252,0.11800000000000001,-0.10099999999999999,26.303,70,25.0,0.0,5.0,"5,404",,1.0,,2017
72,Scott Stallings,77,"5,438",14.475,"45,832",154,612,"1,073",941,"1,386",-0.25,-21.75,68,0.049,0.375,-0.084,1.3330000000000002,68,27.0,0.0,3.0,"5,799",,,1.0,2017
73,Chris Stroud,59,"4,165",13.108,"33,847",118,542,825,703,"1,062",-0.26,-6.046,48,-0.094,0.17300000000000001,0.06,0.629,48,22.0,1.0,3.0,"5,654",1.0,,,2017
74,Nick Taylor,95,"6,710",17.579,"55,408",190,817,"1,325","1,131","1,710",-0.24,-15.843,83,0.168,0.053,0.121,12.558,83,29.0,0.0,4.0,"5,727",,,,2017
75,Luke Donald,48,"3,408",- 8.103,"26,732",96,378,669,535,864,-0.27,30.285,43,-1.001,-0.078,0.42200000000000004,2.021,43,18.0,0.0,1.0,"5,825",,1.0,,2017
76,Billy Horschel,86,"6,104",- 12.479,"51,610",172,722,"1,202","1,051","1,548",-0.23,6.718999999999999,80,0.22399999999999998,0.02,-0.324,0.35100000000000003,80,28.0,1.0,4.0,"5,195",1.0,1.0,,2017
77,Harris English,76,"5,384",.485,"45,890",152,545,"1,060",875,"1,368",-0.26,26.956999999999997,72,-0.644,0.138,0.16899999999999998,2.727,72,27.0,0.0,2.0,"5,884",,,,2017
78,John Huh,88,"6,210",24.875,"48,229",168,787,"1,228","1,042","1,584",-0.24,9.452,76,-0.049,-0.02,0.043,7.499,76,28.0,0.0,2.0,"5,899",,,,2017
79,Danny Lee,89,"6,303",3.558,"49,486",170,779,"1,242","1,059","1,602",-0.28,18.754,76,0.037000000000000005,0.304,-0.263,24.662,76,32.0,0.0,4.0,"5,584",,,1.0,2017
80,Branden Grace,63,"4,476",- 11.723,"32,115",110,518,886,753,"1,134",-0.23,-11.639000000000001,47,0.18,0.17300000000000001,0.165,12.715,47,20.0,0.0,2.0,"5,641",,,,2017
81,Ryan Blaum,96,"6,768",35.162,"54,539",192,816,"1,339","1,128","1,728",-0.27,27.37,82,-0.198,-0.032,-0.057,3.8930000000000002,82,29.0,0.0,2.0,"5,830",,,,2017
82,Bryson DeChambeau,89,"6,294",13.084,"53,302",178,724,"1,241","1,049","1,602",-0.26,-14.116,73,0.42,-0.02,-0.016,13.866,73,31.0,1.0,2.0,"5,264",1.0,1.0,,2017
83,Kevin Tway,88,"6,205",31.383,"54,421",176,646,"1,231","1,025","1,584",-0.28,19.312,74,0.28800000000000003,-0.168,0.053,32.076,74,27.0,0.0,3.0,"5,541",,,2.0,2017
84,Kevin Streelman,88,"6,226",10.820,"51,736",176,810,"1,227","1,056","1,584",-0.25,-21.945999999999998,78,0.292,0.19699999999999998,-0.038,13.179,78,26.0,0.0,2.0,"5,664",,,,2017
85,Brandon Hagy,77,"5,434",23.409,"48,162",154,565,"1,077",894,"1,386",-0.28,7.504,69,0.45899999999999996,-0.39299999999999996,0.11800000000000001,20.218,69,26.0,0.0,1.0,"5,862",,,,2017
86,Camilo Villegas,72,"5,080",23.440,"41,579",144,548,"1,008",802,"1,296",-0.3,24.802,62,-0.524,0.107,0.235,13.523,62,25.0,0.0,2.0,"5,739",,1.0,,2017
87,Rory Sabbatini,65,"4,568",39.389,"37,911",130,590,909,788,"1,170",-0.28,-18.910999999999998,53,0.308,0.146,0.027999999999999997,6.614,53,23.0,0.0,1.0,"5,906",,,,2017
88,Martin Flores,81,"5,706",35.704,"48,705",162,597,"1,131","1,030","1,458",-0.25,16.203,67,-0.024,0.047,-0.28,-0.995,67,27.0,0.0,2.0,"5,820",,,,2017
89,Byeong Hun An,72,"5,139",- 35.159,"38,443",128,574,"1,004",830,"1,296",-0.25,-21.401,57,0.524,0.369,0.071,33.565,57,22.0,0.0,3.0,"5,813",,,,2017
90,Cameron Smith,82,"5,798",16.550,"47,989",164,643,"1,143",932,"1,476",-0.31,5.979,71,-0.13,0.149,0.39899999999999997,35.659,71,26.0,1.0,4.0,"5,216",1.0,,,2017
91,Sam Saunders,70,"4,941",23.485,"41,097",140,632,977,822,"1,260",-0.28,8.435,61,0.348,-0.136,-0.28,4.309,61,24.0,0.0,2.0,"5,927",,,,2017
92,James Hahn,96,"6,801",7.774,"54,083",184,848,"1,343","1,142","1,728",-0.25,2.948,81,0.177,0.016,0.03,21.026,81,28.0,0.0,4.0,"5,480",,,1.0,2017
93,Jim Herman,75,"5,314",5.851,"41,536",142,724,"1,049",919,"1,350",-0.25,-8.381,66,0.42200000000000004,0.14300000000000002,-0.07,24.298000000000002,66,25.0,0.0,2.0,"5,716",,,1.0,2017
94,Scott Brown,91,"6,439",15.804,"52,591",182,812,"1,271","1,054","1,638",-0.27,21.561999999999998,78,0.14300000000000002,-0.225,-0.262,-5.297000000000001,78,29.0,0.0,2.0,"5,330",,2.0,,2017
95,Tim Wilkinson,58,"4,093",22.127,"32,427",116,530,807,668,"1,044",-0.27,0.41700000000000004,46,-0.289,-0.31,0.5379999999999999,-2.431,46,,,,,,,,2017
96,Ben Martin,79,"5,588",17.331,"46,087",158,701,"1,101",947,"1,422",-0.25,-3.114,70,0.138,0.297,-0.22699999999999998,11.44,70,27.0,0.0,2.0,"5,903",,,,2017
97,Seung-Yul Noh,87,"6,149",24.054,"51,943",174,645,"1,215","1,027","1,566",-0.27,18.293,75,-0.541,0.044000000000000004,0.439,13.964,75,31.0,0.0,3.0,"5,835",,,,2017
98,Jhonattan Vegas,86,"6,101",1.370,"49,414",164,700,"1,208","1,021","1,548",-0.26,-25.789,67,0.45299999999999996,0.245,-0.028999999999999998,19.1,67,29.0,1.0,4.0,"2,616",1.0,,1.0,2017
99,Jason Kokrak,95,"6,757",- 15.744,"55,771",182,786,"1,325","1,142","1,710",-0.26,-33.637,83,0.607,0.077,-0.226,4.351,83,28.0,0.0,1.0,"5,632",,,,2017
100,Whee Kim,72,"5,096",13.411,"41,767",144,557,"1,006",811,"1,296",-0.27,27.485,62,-0.665,-0.14800000000000002,0.163,-12.895999999999999,62,27.0,0.0,2.0,"5,698",,1.0,,2017
101,Ryan Armour,59,"4,162",24.910,"32,898",118,600,825,743,"1,062",-0.23,-1.42,49,0.02,0.121,-0.005,5.247000000000001,49,,,,,,,,2017
102,Harold Varner III,99,"7,013",12.594,"57,462",190,825,"1,384","1,206","1,782",-0.25,-34.56,86,0.262,0.33,-0.081,9.366,86,31.0,0.0,1.0,"5,707",,,,2017
103,J.T. Poston,87,"6,135",40.445,"51,412",174,721,"1,213","1,026","1,566",-0.3,-8.506,73,0.156,0.053,-0.062,2.245,73,28.0,0.0,1.0,"5,941",,,,2017
104,Shawn Stefani,68,"4,799",27.818,"39,985",136,575,950,826,"1,224",-0.24,-3.428,60,0.01,-0.11900000000000001,0.122,-2.602,60,,,,,,,,2017
105,J.J. Spaun,86,"6,078",27.915,"50,146",172,782,"1,201","1,039","1,548",-0.26,-1.964,72,0.316,-0.122,-0.24,-5.215,72,29.0,0.0,3.0,"5,740",,,,2017
106,Zac Blair,99,"6,994",35.710,"51,820",190,964,"1,383","1,153","1,782",-0.24,2.795,81,-0.155,-0.141,0.218,-3.5639999999999996,81,32.0,0.0,1.0,"5,917",,,,2017
107,Trey Mullinax,82,"5,783",41.249,"50,778",164,625,"1,145",989,"1,476",-0.28,-3.986,70,0.42700000000000005,-0.195,-0.16899999999999998,0.397,70,28.0,0.0,1.0,"5,951",,,,2017
108,Cameron Percy,65,"4,588",28.978,"38,027",130,547,909,818,"1,170",-0.23,-11.28,55,-0.019,0.266,-0.12300000000000001,-4.51,55,23.0,0.0,1.0,"5,990",,,,2017
109,Vaughn Taylor,84,"5,933",34.716,"47,446",168,805,"1,179","1,008","1,512",-0.27,10.552999999999999,76,-0.001,0.135,-0.168,8.032,76,26.0,0.0,,"5,868",,,,2017
110,Mackenzie Hughes,104,"7,376",12.589,"61,211",208,870,"1,459","1,212","1,872",-0.26,47.265,96,0.021,-0.40399999999999997,0.063,16.538,96,31.0,1.0,2.0,"5,024",1.0,,,2017
111,Geoff Ogilvy,72,"5,111",4.999,"41,261",144,629,"1,005",849,"1,296",-0.23,2.89,67,-0.064,-0.327,0.196,-10.171,67,25.0,0.0,1.0,"5,831",,,,2017
112,Wesley Bryan,91,"6,456",10.663,"50,917",182,735,"1,270",991,"1,638",-0.28,26.142,77,-0.899,0.42100000000000004,0.141,0.154,77,28.0,1.0,5.0,"5,189",1.0,,1.0,2017
113,Grayson Murray,90,"6,394",1.776,"55,483",180,704,"1,257","1,036","1,620",-0.3,-6.93,85,0.353,-0.032,-0.17600000000000002,5.444,85,30.0,1.0,2.0,"5,465",1.0,,,2017
114,Jim Furyk,51,"3,631",- 6.387,"27,687",102,511,709,607,918,-0.23,8.211,44,-0.491,0.49200000000000005,-0.036000000000000004,6.631,44,,,,,,,,2017
115,Ben Crane,79,"5,593",23.187,"44,000",158,749,"1,102",934,"1,422",-0.24,-10.665999999999999,69,-0.15,-0.024,0.105,-15.372,69,26.0,0.0,1.0,"6,000",,,,2017
116,David Hearn,85,"6,027",17.056,"45,517",162,791,"1,185",990,"1,530",-0.24,-3.705,71,-0.175,0.016,0.115,-6.814,71,29.0,0.0,2.0,"5,922",,,,2017
117,Morgan Hoffmann,88,"6,243",14.432,"51,728",176,741,"1,227","1,007","1,584",-0.27,6.4270000000000005,82,0.165,-0.419,0.115,-4.921,82,29.0,0.0,1.0,"5,649",,1.0,,2017
118,C.T. Pan,86,"6,101",14.337,"49,405",172,771,"1,201","1,041","1,548",-0.22,-1.023,76,0.052000000000000005,-0.092,-0.034,-6.635,76,29.0,0.0,3.0,"5,687",,1.0,,2017
119,Andres Gonzales,69,"4,863",43.718,"41,289",138,538,965,841,"1,242",-0.26,1.325,57,-0.10400000000000001,-0.08900000000000001,0.19,1.16,57,,,,,,,,2017
120,Ryan Palmer,53,"3,775",- 5.854,"32,140",106,428,741,634,954,-0.21,-56.813,49,0.5329999999999999,0.555,-0.057999999999999996,-6.343,49,20.0,0.0,3.0,"5,945",,,,2017
121,William McGirt,83,"5,904",1.563,"47,349",166,815,"1,165","1,004","1,494",-0.23,-1.8030000000000002,72,0.257,-0.193,-0.13699999999999998,-7.02,72,28.0,0.0,3.0,"5,660",,,1.0,2017
122,Jimmy Walker,65,"4,650",- 24.914,"36,073",122,485,857,698,"1,098",-0.27,6.747999999999999,50,-0.258,0.518,-0.12300000000000001,13.640999999999998,50,21.0,0.0,1.0,"5,842",,,,2017
123,Blayne Barber,71,"5,045",7.606,"41,355",142,610,990,864,"1,278",-0.27,26.929000000000002,67,0.040999999999999995,-0.12300000000000001,-0.306,0.893,67,25.0,0.0,1.0,"5,900",,1.0,,2017
124,J.J. Henry,86,"6,097",23.122,"50,585",172,751,"1,200","1,075","1,548",-0.21,-32.264,75,0.20800000000000002,0.05,0.0,-12.89,75,29.0,0.0,2.0,"5,916",,,,2017
125,Richy Werenski,74,"5,220",46.679,"43,102",148,681,"1,033",898,"1,332",-0.25,0.023,61,0.203,-0.12300000000000001,-0.303,-13.591,61,26.0,0.0,3.0,"5,826",,1.0,,2017
126,Bubba Watson,63,"4,494",- 9.958,"36,086",118,526,884,713,"1,134",-0.27,-9.91,53,0.647,-0.175,-0.201,4.504,53,22.0,0.0,4.0,"5,623",,,,2017
127,Tag Ridings,59,"4,162",37.358,"35,583",118,480,825,700,"1,062",-0.29,10.129,50,0.295,-0.35600000000000004,-0.111,1.504,50,,,,,,,1.0,2017
128,Billy Hurley III,80,"5,690",4.082,"42,083",152,679,"1,121",916,"1,440",-0.26,25.772,69,-0.812,0.43200000000000005,0.11699999999999999,7.621,69,25.0,0.0,1.0,"5,948",,,,2017
129,Ryan Brehm,77,"5,453",27.730,"47,965",154,559,"1,077",934,"1,386",-0.25,-9.71,65,0.13699999999999998,-0.06,-0.099,-11.193,65,,,,,,,,2017
130,Tyrone Van Aswegen,97,"6,871",33.582,"53,412",186,809,"1,353","1,159","1,746",-0.24,-25.572,80,-0.067,0.084,0.085,-17.366,80,32.0,0.0,1.0,"5,874",,,,2017
131,Daniel Summerhays,94,"6,693",- .456,"51,675",180,836,"1,313","1,073","1,692",-0.27,9.022,82,-0.05,-0.062,0.051,3.978,82,29.0,0.0,1.0,"5,933",,,,2017
132,Michael Thompson,56,"3,980",7.614,"31,903",112,482,781,642,"1,008",-0.24,36.94,44,-0.431,-0.373,-0.20800000000000002,-7.614,44,21.0,0.0,1.0,"6,003",,,,2017
133,Ricky Barnes,92,"6,523",29.367,"50,148",176,698,"1,285","1,052","1,656",-0.27,19.992,77,-0.638,0.23800000000000002,0.114,-2.057,77,31.0,0.0,,"5,957",,,,2017
134,Scott Piercy,67,"4,755",17.764,"34,911",118,558,935,805,"1,206",-0.28,-25.761999999999997,49,0.19,0.311,-0.25,-13.456,49,22.0,0.0,4.0,"5,749",,,1.0,2017
135,Chris Kirk,83,"5,887",27.147,"47,637",166,741,"1,159",997,"1,494",-0.28,-5.153,70,-0.315,0.10099999999999999,0.059000000000000004,-15.988,70,28.0,0.0,3.0,"5,719",,1.0,,2017
136,Sebastián Muñoz,49,"3,486",5.879,"29,004",98,373,685,557,882,-0.27,13.953,39,0.031,-0.077,-0.14300000000000002,6.606,39,,,,,,,1.0,2017
137,Jonas Blixt,70,"4,982",7.811,"40,435",140,586,975,775,"1,260",-0.29,31.627,59,-0.3,-0.614,0.037000000000000005,-20.118,59,25.0,1.0,1.0,"5,650",1.0,,,2017
138,D.A. Points,68,"4,849",.419,"37,816",136,626,951,818,"1,224",-0.24,-27.701,58,-0.436,0.42100000000000004,0.087,-23.57,58,22.0,1.0,1.0,"5,824",1.0,,,2017
139,Tom Hoge,46,"3,256",25.003,"26,226",92,360,643,547,828,-0.28,0.7340000000000001,39,-0.35200000000000004,0.235,-0.17600000000000002,-10.675999999999998,39,,,,,,,,2017
140,Julián Etulain,63,"4,469",25.299,"36,978",126,558,881,757,"1,134",-0.24,3.9939999999999998,51,-0.035,-0.292,-0.057999999999999996,-15.661,51,,,,,,,,2017
141,Cameron Tringale,83,"5,891",30.479,"44,390",158,674,"1,159",962,"1,494",-0.26,8.102,65,-0.75,0.08900000000000001,0.396,-9.099,65,28.0,0.0,3.0,"5,944",,,,2017
142,Søren Kjeldsen,49,"3,520",- 21.880,"24,621",90,472,682,547,882,-0.26,16.081,34,-0.424,-0.09,-0.142,-6.1979999999999995,34,17.0,0.0,1.0,"5,998",,,,2017
143,Troy Merritt,76,"5,399",27.272,"44,111",152,647,"1,061",887,"1,368",-0.26,-1.157,70,-0.11800000000000001,-0.018000000000000002,-0.009000000000000001,-11.347999999999999,70,,,,,,,,2017
144,Peter Malnati,85,"6,029",39.903,"45,737",162,749,"1,187",956,"1,530",-0.27,32.905,73,-0.262,-0.563,0.19,-13.46,73,,,,,,,,2017
145,Retief Goosen,46,"3,272",13.569,"26,843",92,371,642,529,828,-0.25,-17.413,41,-0.001,0.009000000000000001,0.027000000000000003,-15.985,41,,,,,,1.0,,2017
146,Johnson Wagner,63,"4,486",14.040,"36,299",126,556,880,759,"1,134",-0.24,6.822,57,-0.081,-0.08800000000000001,-0.287,-19.168,57,26.0,0.0,2.0,"5,960",,,1.0,2017
147,Patrick Rodgers,74,"5,286",- .055,"42,884",140,547,"1,034",877,"1,332",-0.22,-4.379,66,-0.044000000000000004,-0.529,-0.077,-47.261,66,27.0,0.0,3.0,"5,632",,1.0,,2017
148,Smylie Kaufman,71,"5,055",16.679,"40,842",134,543,991,834,"1,278",-0.28,-8.612,63,0.091,-0.059000000000000004,-0.073,-11.152999999999999,63,26.0,0.0,1.0,"5,965",,,,2017
149,Alex Cejka,77,"5,477",25.481,"41,184",146,721,"1,073",921,"1,386",-0.22,-22.281999999999996,62,-0.02,-0.2,0.127,-28.04,62,28.0,0.0,1.0,"6,005",,,,2017
150,Boo Weekley,73,"5,189",28.736,"42,332",146,731,"1,020",902,"1,314",-0.22,-58.166000000000004,61,0.634,0.425,-0.429,-19.715999999999998,61,,,,,,,,2017
151,Aaron Baddeley,57,"4,070",4.531,"31,014",106,418,800,642,"1,026",-0.28,2.005,46,-0.782,0.256,0.31,-7.925,46,20.0,0.0,2.0,"5,956",,,,2017
152,Gonzalo Fernandez-Castaño,56,"3,972",31.117,"32,720",112,417,783,627,"1,008",-0.26,21.523000000000003,44,-0.375,-0.312,0.12,-3.417,44,,,,,,,,2017
153,Dominic Bozzelli,65,"4,636",10.856,"38,278",130,512,905,725,"1,170",-0.25,-1.804,55,0.051,-0.342,-0.125,-24.714000000000002,55,24.0,0.0,3.0,"5,887",,,1.0,2017
154,Kelly Kraft,71,"5,076",- .119,"41,453",142,594,989,807,"1,278",-0.25,-10.201,65,-0.205,0.159,-0.479,-44.288000000000004,65,27.0,0.0,3.0,"5,597",,1.0,1.0,2017
155,Mark Anderson,52,"3,693",25.018,"29,512",104,436,727,614,936,-0.24,-0.665,42,-0.149,-0.24100000000000002,0.08199999999999999,-13.64,42,,,,,,,,2017
156,Spencer Levin,85,"6,040",38.883,"45,191",162,805,"1,187","1,003","1,530",-0.22,1.9809999999999999,67,-0.161,-0.195,-0.073,-26.811,67,,,,,,,,2017
157,Derek Fathauer,75,"5,352",15.596,"40,684",142,581,"1,047",848,"1,350",-0.29,5.9910000000000005,64,-0.456,-0.136,-0.149,-41.398999999999994,64,27.0,0.0,2.0,"5,873",,,1.0,2017
158,Steve Wheatcroft,47,"3,347",17.112,"26,370",94,447,655,516,846,-0.24,19.148,40,0.259,-0.953,0.054000000000000006,-6.486000000000001,40,,,,,,,,2017
159,Cody Gribble,77,"5,497",14.733,"45,770",154,591,"1,079",869,"1,386",-0.29,32.251999999999995,70,-0.33799999999999997,-0.586,-0.061,-36.71,70,28.0,1.0,2.0,"5,667",1.0,,,2017
160,Kyle Reifers,88,"6,273",26.643,"48,062",168,800,"1,228","1,045","1,584",-0.22,-20.398,74,-0.023,-0.337,0.218,-30.959,74,,,,,,,,2017
161,Patton Kizzire,76,"5,421",20.464,"44,531",152,558,"1,062",869,"1,368",-0.27,-7.4270000000000005,72,-0.7440000000000001,0.29,-0.021,-41.646,72,28.0,0.0,3.0,"5,762",,1.0,,2017
162,Fabián Gómez,59,"4,200",24.973,"33,638",118,513,830,687,"1,062",-0.25,-0.281,51,0.022000000000000002,-0.429,0.006,-20.763,51,,,,,,,,2017
163,K.J. Choi,66,"4,696",30.802,"34,993",124,610,921,749,"1,188",-0.25,9.494,54,-0.141,-0.511,0.213,-14.231,54,,,,,,,,2017
164,Steven Alker,63,"4,475",38.219,"34,884",126,595,881,739,"1,134",-0.24,-15.757,51,-0.289,-0.212,0.39799999999999996,-21.005,51,,,,,,,,2017
165,Jonathan Randolph,63,"4,497",16.418,"36,252",126,566,881,713,"1,134",-0.25,-3.8680000000000003,51,0.03,-0.221,-0.149,-21.213,51,,,,,,,,2017
166,Brian Stuard,87,"6,213",26.644,"45,246",166,868,"1,217",992,"1,566",-0.25,-9.422,69,-0.34,0.171,-0.16399999999999998,-32.375,69,31.0,0.0,,"5,996",,,,2017
