,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money,driving_ranking,best_putters,best_approachers,best_pw,Predictive_Ranking
26,Daniel Summerhays,51,54.69,2018,287.1,56.79,27.82,54.86,73.17699999999998,89,0,1,0.736,-2.105,-0.977,-1.5859999999999999,-0.27699999999999997,234510,78,376,0,26,146.752768
60,Greg Chalmers,56,58.9,2018,282.8,56.94,28.31,52.85,72.531,133,0,1,0.79,-1.266,-0.69,-1.192,-0.174,288023,37,379,2,60,146.66859800000003
55,Jonathan Randolph,71,62.18,2018,289.4,60.43,28.63,59.83,71.945,166,0,1,0.115,-0.877,-0.271,-0.5379999999999999,-0.182,453328,107,221,18,55,140.236115
122,Jason Bohn,75,63.67,2017,275.9,63.15,29.39,57.11,72.133,73,0,0,-0.133,-1.141,-0.685,-0.24600000000000002,-0.076,165910,5,105,70,122,131.670062
13,Nicholas Lindheim,58,56.19,2017,287.1,65.67,29.25,56.65,72.205,93,0,0,0.336,-1.285,-0.733,-0.578,-0.311,175107,75,307,13,13,130.14873000000003
177,Ken Duke,77,68.62,2017,274.2,63.69,29.38,56.47,72.078,98,0,0,-0.452,-0.887,-0.179,-0.256,0.0,225907,4,23,66,177,128.622198
1,Rick Lamb,54,64.81,2017,298.0,66.89,29.44,54.03,71.97800000000002,269,0,1,-0.254,-0.8240000000000001,0.6859999999999999,-0.578,-0.6779999999999999,524372,244,70,14,1,128.144659
139,Brett Drewitt,57,60.73,2017,286.4,64.78,29.36,59.23,72.13,95,0,0,-0.457,-1.035,-0.209,-0.314,-0.054000000000000006,184388,65,20,54,139,128.021654
49,Zecheng Dou,53,54.76,2018,291.9,63.72,30.0,51.56,72.773,21,0,0,-0.667,-1.198,-0.079,-0.265,-0.187,90993,152,3,62,49,126.457426
2,Brett Stegmaier,78,64.66,2017,288.7,66.74,29.97,50.11,72.115,131,0,0,-0.514,-1.265,-0.141,-0.11699999999999999,-0.493,271031,95,15,112,2,122.574752
35,Roberto Díaz,72,63.2,2018,286.3,63.73,29.21,58.56,71.73100000000002,107,0,0,0.168,-0.833,-0.165,-0.6,-0.237,235635,64,246,11,35,116.539194
0,Satoshi Kodaira,51,65.53,2018,293.6,60.3,29.88,51.02,72.182,600,1,1,-0.645,-1.8319999999999999,0.027000000000000003,-0.284,-0.93,1471462,176,4,60,0,114.535656
70,Rod Pampling,62,63.69,2018,288.4,62.64,29.31,56.67,72.445,64,0,0,-0.42100000000000004,-1.094,-0.095,-0.415,-0.163,183806,91,29,33,70,97.32961100000001
78,Miguel Angel Carballo,63,63.61,2017,288.1,64.91,29.6,54.72,72.363,81,0,0,-0.32,-1.358,0.139,-1.035,-0.142,186623,87,50,4,78,84.365197
6,Andrew Yun,51,53.58,2018,290.6,61.85,30.2,44.01,73.624,16,0,0,-0.6,-1.936,-0.457,-0.447,-0.4320000000000001,41566,122,5,24,6,70.06747500000002
